"File","Original","Fixed","Removed","Normalized"
"Al-Ghazali.md","biographies, biography, al-ghazali, islamic-golden-age, theology, ai-generated","history, biography, al-ghazali, islamic-golden-age, theology, ai-generated","","biographies -> biography"
"Euclid.md","biographies, biography, euclid, ai-generated","history, biography, euclid, ai-generated","","biographies -> biography"
"Euler.md","biographies, biography, euler, ai-generated","history, biography, euler, ai-generated","","biographies -> biography"
"Galileo Galilei.md","biographies, biography, galileo-galilei, ai-generated","history, biography, galileo-galilei, ai-generated","","biographies -> biography"
"Gauss.md","biographies, biography, gauss, ai-generated","history, biography, gauss, ai-generated","","biographies -> biography"
"Ibn Sina.md","biographies, biography, philosophy, medicine, islamic-golden-age, ai-generated","history, biography, philosophy, medicine, islamic-golden-age, ai-generated","","biographies -> biography"
"Jacob Bernoulli.md","biographies, biography, jacob-bernoulli, ai-generated","history, biography, jacob-bernoulli, ai-generated","","biographies -> biography"
"Luca Pacioli.md","biographies, biography, luca-pacioli, ai-generated","history, biography, luca-pacioli, ai-generated","","biographies -> biography"
"Muammar Gaddafi.md","biographies, biography, muammar-gaddafi, ai-generated","history, biography, muammar-gaddafi, ai-generated","","biographies -> biography"
"Rumi.md","biographies, biography, rumi, ai-generated","history, biography, rumi, ai-generated","","biographies -> biography"
"Stefan Lazarevic.md","biographies, biography, stefan-lazarevic, ai-generated","history, biography, stefan-lazarevic, ai-generated","","biographies -> biography"
"Gaddafi's Libya - The Rise and Fall of the Jamahiriya.md","contemporary, ai-generated","history, contemporary, ai-generated","",""
"The Arab Spring - A Decade of Upheaval and Transformation.md","contemporary, ai-generated","history, contemporary, ai-generated","",""
"Islamic Golden Age Scholars.md","medieval-and-late-medieval, medieval, islamic-golden-age-scholars, ai-generated","history, medieval, islamic-golden-age, ai-generated","","medieval-and-late-medieval -> medieval, islamic-golden-age-scholars -> islamic-golden-age"
"The Ottomans in the Balkans.md","medieval-and-late-medieval, empire, medieval, the-ottomans-in-the-balkans, ai-generated","history, medieval, empire, the-ottomans-in-the-balkans, ai-generated","","medieval-and-late-medieval -> medieval"
"The First Crusade.md","medieval, crusades, ai-generated","history, medieval, crusades, ai-generated","",""
"Bohemia and Charles IV.md","medieval-and-late-medieval, empire, medieval, bohemia-and-charles-iv, ai-generated","history, medieval, empire, bohemia-and-charles-iv, ai-generated","","medieval-and-late-medieval -> medieval"
"King Sigismund and Bohemia.md","medieval-and-late-medieval, empire, medieval, king-sigismund-and-bohemia, ai-generated","history, medieval, empire, king-sigismund-and-bohemia, ai-generated","","medieval-and-late-medieval -> medieval"
"The Great Western Schism.md","medieval-and-late-medieval, medieval, the-great-western-schism, christianity, ai-generated","history, medieval, the-great-western-schism, christianity, ai-generated","","medieval-and-late-medieval -> medieval"
"The Holy Roman Empire.md","medieval-and-late-medieval, empire, the-holy-roman-empire, ai-generated","history, medieval, empire, the-holy-roman-empire, ai-generated","","medieval-and-late-medieval -> medieval"
"Evolution of Intellectual Thought in Europe.md","history, medieval, ai-generated","history, history, medieval, ai-generated","",""
"Hannibal's Legacy.md","history, empire, hannibal-barca, second-punic-war, battle-of-cannae, roman-republic, military-history, scipio-africanus, carthage, ai-generated","history, history, empire, hannibal-barca, second-punic-war, battle-of-cannae, roman-republic, military-history, scipio-africanus, carthage, ai-generated","",""
"History of the Levant under Muslim Rule.md","history, geopolitical, levant, bilad-al-sham, umayyad, abbasid, ayyubid, mamluk, crusades, ai-generated","history, history, geopolitical, levant, bilad-al-sham, umayyad, abbasid, ayyubid, mamluk, crusades, ai-generated","",""
"How Svlla influenced Caesar.md","history, ai-generated","history, history, ai-generated","",""
"Influence of Islamic Golden Age on the West.md","history, medieval, islamic-golden-age, islamic-golden-age-scholars, ai-generated","history, history, medieval, islamic-golden-age, ai-generated","","islamic-golden-age-scholars -> islamic-golden-age"
"The Julian Star and Intellectualism.md","philosophy, romanempire, astronomy, logic, ai-generated","philosophy, roman-empire, astronomy, logic, ai-generated","","romanempire -> roman-empire"
"The Riemann Hypothesis.md","mathematics, number-theory, millenniumproblems, computation, ai-generated","mathematics, number-theory, millennium-problems, computation, ai-generated","","millenniumproblems -> millennium-problems"
